,fips,state,name,area_2010,unemployment_rate_2019,per_capita_income_2019,"Total publicly funded clinics, 2015 [1]",proportion_votes_democrats_2016,proportion_votes_republican_2016,clinics_per_sqmiles,clinics_per_1000_sqmiles,percent_votes_democrats_2016,percent_votes_republican_2016,Rates_of_adherence_per_1000_population
300,8119,Colorado,Teller County,557.06,6.1,35703,3,0.249735971,0.674505386,0.005385416,5.39,24.97,67.45,301.03
301,8121,Colorado,Washington County,2518.03,2.4,27860,1,0.106720827,0.843426883,0.000397136,0.40,10.67,84.34,372.87
302,8123,Colorado,Weld County,3987.24,3.6,31793,11,0.342843262,0.567172434,0.002758801,2.76,34.28,56.72,288.01
303,8125,Colorado,Yuma County,2364.41,3.3,27955,1,0.150300172,0.805102916,0.000422938,0.42,15.03,80.51,528.93
304,9001,Connecticut,Fairfield County,624.89,6.1,57263,23,0.581855274,0.378905574,0.036806478,36.81,58.19,37.89,632.28
305,9003,Connecticut,Hartford County,735.1,5.2,40540,20,0.585615915,0.370503408,0.027207183,27.21,58.56,37.05,495.11
306,9005,Connecticut,Litchfield County,920.56,4.6,44480,3,0.40885112,0.547816984,0.003258886,3.26,40.89,54.78,422.65
307,9007,Connecticut,Middlesex County,369.3,4.4,46023,5,0.512499717,0.439435759,0.013539128,13.54,51.25,43.94,421.14
308,9009,Connecticut,New Haven County,604.51,6.1,38009,18,0.541623106,0.421306752,0.029776182,29.78,54.16,42.13,488.31
309,9011,Connecticut,New London County,664.88,5.4,39426,13,0.505520891,0.438250339,0.0195524,19.55,50.55,43.83,449.36
310,9013,Connecticut,Tolland County,410.21,4.5,41371,1,0.49890358,0.441020384,0.002437776,2.44,49.89,44.10,393.93
311,9015,Connecticut,Windham County,512.91,5.1,32732,9,0.42948149,0.507622823,0.017546938,17.55,42.95,50.76,456.22
312,10001,Delaware,Kent County,586.18,5,28845,11,0.4490997,0.498148223,0.018765567,18.77,44.91,49.81,324.47
313,10003,Delaware,New Castle County,426.29,5.4,37532,20,0.623039913,0.327026634,0.046916418,46.92,62.30,32.70,464.9
314,10005,Delaware,Sussex County,936.08,4.1,35491,10,0.371680496,0.591670289,0.010682848,10.68,37.17,59.17,364.77
315,12001,Florida,Alachua County,875.02,4.7,28646,8,0.58962504,0.36443005,0.009142648,9.14,58.96,36.44,415.79
316,12003,Florida,Baker County,585.23,4.5,24686,2,0.167167959,0.814785499,0.00341746,3.42,16.72,81.48,253.18
317,12005,Florida,Bay County,758.46,4.8,29290,1,0.248866909,0.711523677,0.001318461,1.32,24.89,71.15,412.43
318,12007,Florida,Bradford County,293.96,6,20529,2,0.241692842,0.736733344,0.006803647,6.80,24.17,73.67,461.99
319,12009,Florida,Brevard County,1015.66,4.9,32176,10,0.380244769,0.577787534,0.009845815,9.85,38.02,57.78,348.62
320,12011,Florida,Broward County,1209.79,5.7,32909,9,0.664719744,0.314182517,0.007439308,7.44,66.47,31.42,367.02
321,12013,Florida,Calhoun County,567.33,3.9,19304,1,0.20372507,0.765946926,0.001762643,1.76,20.37,76.59,407.93
322,12015,Florida,Charlotte County,680.28,5.7,32144,3,0.346968014,0.624939007,0.004409949,4.41,34.70,62.49,400.54
323,12017,Florida,Citrus County,581.7,7.4,26989,5,0.286028396,0.683213972,0.008595496,8.60,28.60,68.32,305.98
