,fips,No. of clinics per 1000 women with demand
726,18061,0.4695
727,18063,0.0526
728,18065,0.2075
729,18067,0.1082
730,18069,#VALUE!
731,18071,0.4024
732,18073,#VALUE!
733,18075,#VALUE!
734,18077,#VALUE!
735,18079,#VALUE!
736,18081,0.1049
737,18083,0.2353
738,18085,0.1092
739,18087,0.1759
740,18089,#VALUE!
741,18091,0.2744
742,18093,#VALUE!
743,18095,0.3425
744,18097,0.2244
745,18099,#VALUE!
746,18101,#VALUE!
747,18103,0.2793
748,18105,0.0793
749,18107,#VALUE!
750,18109,#VALUE!
751,18111,#VALUE!
752,18113,#VALUE!
753,18115,#VALUE!
754,18117,#VALUE!
755,18119,0.4762
756,18121,0.5291
757,18123,#VALUE!
758,18125,0.8130
759,18127,0.2548
760,18129,#VALUE!
761,18131,#VALUE!
762,18133,0.2315
763,18135,#VALUE!
764,18137,#VALUE!
765,18139,0.6098
766,18141,0.3788
767,18143,#VALUE!
768,18145,#VALUE!
769,18147,0.1748
770,18149,#VALUE!
771,18151,#VALUE!
772,18153,#VALUE!
773,18155,#VALUE!
774,18157,0.1021
775,18159,#VALUE!
776,18161,#VALUE!
777,18163,0.3029
778,18165,1.2821
779,18167,0.2913
780,18169,#VALUE!
781,18171,#VALUE!
782,18173,0.1481
783,18175,#VALUE!
784,18177,0.2699
785,18179,#VALUE!
786,18181,0.4587
787,18183,#VALUE!
788,19001,#VALUE!
789,19003,#VALUE!
790,19005,#VALUE!
791,19007,0.9009
792,19009,#VALUE!
793,19011,0.7752
794,19013,0.2157
795,19015,0.3571
796,19017,#VALUE!
797,19019,0.5025
798,19021,0.4255
799,19023,0.7752
800,19025,#VALUE!
801,19027,0.5319
802,19029,0.8696
803,19031,#VALUE!
804,19033,0.2299
805,19035,#VALUE!
806,19037,#VALUE!
807,19039,#VALUE!
808,19041,#VALUE!
809,19043,#VALUE!
810,19045,0.3984
811,19047,0.6250
812,19049,0.1871
813,19051,#VALUE!
814,19053,2.1505
815,19055,#VALUE!
816,19057,0.4843
817,19059,#VALUE!
818,19061,0.2676
819,19063,#VALUE!
820,19065,#VALUE!
821,19067,#VALUE!
822,19069,1.0989
823,19071,#VALUE!
824,19073,#VALUE!
825,19075,#VALUE!
826,19077,#VALUE!
827,19079,#VALUE!
828,19081,#VALUE!
829,19083,#VALUE!
830,19085,0.7299
831,19087,#VALUE!
832,19089,#VALUE!
833,19091,1.1905
834,19093,#VALUE!
835,19095,#VALUE!
836,19097,0.5917
837,19099,#VALUE!
838,19101,0.5988
839,19103,0.0818
840,19105,1.0363
841,19107,1.1111
842,19109,#VALUE!
843,19111,0.5831
844,19113,0.2193
845,19115,0.9524
846,19117,#VALUE!
847,19119,#VALUE!
848,19121,#VALUE!
849,19123,0.4149
850,19125,#VALUE!
851,19127,0.4785
852,19129,#VALUE!
853,19131,#VALUE!
854,19133,2.7397
855,19135,1.4085
856,19137,#VALUE!
857,19139,0.2088
858,19141,#VALUE!
859,19143,#VALUE!
860,19145,#VALUE!
861,19147,#VALUE!
862,19149,#VALUE!
863,19151,#VALUE!
864,19153,0.1760
865,19155,0.2857
866,19157,0.4878
867,19159,#VALUE!
868,19161,#VALUE!
869,19163,0.1918
870,19165,0.9901
871,19167,0.5249
872,19169,0.1226
873,19171,1.2821
874,19173,#VALUE!
875,19175,#VALUE!
876,19177,#VALUE!
877,19179,0.5025
878,19181,#VALUE!
879,19183,#VALUE!
880,19185,#VALUE!
881,19187,0.7772
882,19189,1.0526
883,19191,0.4274
884,19193,0.1595
885,19195,#VALUE!
886,19197,0.9259
887,20001,1.6393
888,20003,1.4493
889,20005,0.4854
890,20007,2.5641
